read_file,total_reads,total_bases,percent_bases_mapped,CP008706_accession,CP008706_coverage_avg,CP008706_coverage_rel_variance,CP008706_num_reads_mapped,CP008706_num_bases_mapped,CP008706_length,CP008706_nbinom_fit_mean,CP008706_nbinom_fit_rel_var,CP008707_accession,CP008707_coverage_avg,CP008707_coverage_rel_variance,CP008707_num_reads_mapped,CP008707_num_bases_mapped,CP008707_length,CP008707_nbinom_fit_mean,CP008707_nbinom_fit_rel_var,CP008708_accession,CP008708_coverage_avg,CP008708_coverage_rel_variance,CP008708_num_reads_mapped,CP008708_num_bases_mapped,CP008708_length,CP008708_nbinom_fit_mean,CP008708_nbinom_fit_rel_var,CP008709_accession,CP008709_coverage_avg,CP008709_coverage_rel_variance,CP008709_num_reads_mapped,CP008709_num_bases_mapped,CP008709_length,CP008709_nbinom_fit_mean,CP008709_nbinom_fit_rel_var
NRA304_S113_L008_R1_001_fastxclipper_trimmed,3201070,285228198,1.0,CP008706,65.19,17.27,2894405.0,257900439.67,3972672,69.88,16.24,CP008707,85.75,22.31,70052.0,6139530.0,83610,101.63,30.11,CP008708,882.98,257.73,85865.0,7621163.0,8731,579.72,83.54,CP008709,6402.04,759.72,131231.0,11543491.0,1967,5377.88,158.87
NRA306_S114_L008_R1_001_fastxclipper_trimmed,3770738,341024306,1.0,CP008706,80.38,17.61,3525709.0,318931611.0,3972672,89.44,16.11,CP008707,56.85,18.7,27598.0,2468716.0,83610,57.88,15.67,CP008708,1110.51,358.42,106509.0,9557868.0,8731,1489.04,426.02,CP008709,4528.07,573.8,92696.0,8149076.0,1967,3782.96,107.5
NRA307_S115_L008_R1_001_fastxclipper_trimmed,3703913,336393242,1.0,CP008706,75.84,15.65,3307768.0,300649438.27,3972672,83.87,14.82,CP008707,44.53,12.99,21137.0,1901935.0,83610,53.69,16.68,CP008708,1182.06,350.94,112397.0,10164842.0,8731,725.6,99.18,CP008709,11453.48,1398.9,232301.0,20576475.0,1967,10500.33,739.94
NRA308_S116_L008_R1_001_fastxclipper_trimmed,2908886,263446550,1.0,CP008706,56.86,14.99,2477158.0,224697137.67,3972672,59.51,13.27,CP008707,15.14,5.19,11821.0,1055533.0,83610,23.51,12.21,CP008708,1172.22,367.83,111922.0,10099541.0,8731,3901.87,3448.4,CP008709,13521.31,1696.36,275519.0,24317152.0,1967,11290.55,311.01
NRA309_S117_L008_R1_001_fastxclipper_trimmed,2564035,231935021,1.0,CP008706,49.78,10.87,2165008.0,196099915.71,3972672,54.59,10.34,CP008707,79.03,23.66,62772.0,5611463.0,83610,83.54,25.62,CP008708,891.79,269.97,85099.0,7690634.0,8731,498.29,46.26,CP008709,11021.97,1328.19,224684.0,19850674.0,1967,9530.91,406.64
NRA310_S118_L008_R1_001_fastxclipper_trimmed,2450961,221187443,1.0,CP008706,50.28,14.77,2199304.0,198709919.98,3972672,51.21,13.43,CP008707,17.93,5.74,8470.0,756028.0,83610,18.98,6.16,CP008708,782.0,243.29,75505.0,6741984.0,8731,509.34,94.24,CP008709,7245.72,883.98,148720.0,13039573.0,1967,6145.8,190.25
NRA311_S119_L008_R1_001_fastxclipper_trimmed,1666768,154758625,1.0,CP008706,32.41,7.9,1373544.0,127802936.61,3972672,34.62,7.43,CP008707,14.51,4.81,10809.0,1004530.0,83610,15.78,5.09,CP008708,1285.76,425.34,119785.0,11045922.0,8731,1784.52,1018.86,CP008709,7341.82,911.44,145397.0,13151550.0,1967,7210.63,794.3
NRA312_S120_L008_R1_001_fastxclipper_trimmed,1607372,149599200,1.0,CP008706,33.06,10.34,1406752.0,131088262.98,3972672,32.44,8.19,CP008707,22.46,6.52,13299.0,1233841.0,83610,21.91,5.08,CP008708,881.12,283.14,81845.0,7563559.0,8731,697.33,198.66,CP008709,4733.96,605.36,93459.0,8478501.0,1967,4093.03,284.59
NRA313_S121_L008_R1_001_fastxclipper_trimmed,1828187,166798034,1.0,CP008706,37.09,10.59,1603799.0,146406359.5,3972672,38.34,9.69,CP008707,11.64,3.96,9242.0,840422.0,83610,16.97,8.05,CP008708,1004.64,325.76,95037.0,8646722.0,8731,724.32,125.3,CP008709,5257.71,665.65,105837.0,9440155.0,1967,4373.11,130.18
NRA314_S122_L008_R1_001_fastxclipper_trimmed,2393685,216610681,1.0,CP008706,46.5,10.27,2028580.0,183689262.78,3972672,51.98,10.4,CP008707,15.45,5.1,10203.0,913149.0,83610,17.66,6.15,CP008708,1172.12,344.46,111316.0,10058166.0,8731,1163.6,390.31,CP008709,10738.01,1294.74,217655.0,19322027.0,1967,9255.74,393.06
