read_file,total_reads,total_bases,percent_bases_mapped,CP008706_accession,CP008706_coverage_avg,CP008706_coverage_rel_variance,CP008706_num_reads_mapped,CP008706_num_bases_mapped,CP008706_length,CP008706_nbinom_fit_mean,CP008706_nbinom_fit_rel_var,CP008707_accession,CP008707_coverage_avg,CP008707_coverage_rel_variance,CP008707_num_reads_mapped,CP008707_num_bases_mapped,CP008707_length,CP008707_nbinom_fit_mean,CP008707_nbinom_fit_rel_var,CP008708_accession,CP008708_coverage_avg,CP008708_coverage_rel_variance,CP008708_num_reads_mapped,CP008708_num_bases_mapped,CP008708_length,CP008708_nbinom_fit_mean,CP008708_nbinom_fit_rel_var,CP008709_accession,CP008709_coverage_avg,CP008709_coverage_rel_variance,CP008709_num_reads_mapped,CP008709_num_bases_mapped,CP008709_length,CP008709_nbinom_fit_mean,CP008709_nbinom_fit_rel_var
NRA278_S88_L008_R1_001_fastxclipper_trimmed,2249410,206582762,0.998,CP008706,49.718,9.07,2121407.0,194837899.974,3972672,55.973,8.805,CP008707,38.111,10.446,18174.0,1659401.0,83610,49.75,16.687,CP008708,593.194,176.977,55776.0,5079351.0,8731,619.021,194.237,CP008709,2249.569,270.347,45070.0,4043654.0,1967,1966.397,112.482
NRA279_S89_L008_R1_001_fastxclipper_trimmed,3058307,275425867,0.998,CP008706,63.081,11.542,2760934.0,248726839.373,3972672,73.116,11.972,CP008707,28.903,8.442,22926.0,2042243.0,83610,31.622,8.951,CP008708,1255.831,374.838,120956.0,10834931.0,8731,2054.001,1042.639,CP008709,6518.944,749.911,133605.0,11763581.0,1967,6027.183,439.966
NRA280_S90_L008_R1_001_fastxclipper_trimmed,3203249,289933405,0.998,CP008706,64.146,11.112,2781781.0,252175330.918,3972672,73.022,10.28,CP008707,16.383,5.16,11429.0,1023553.0,83610,19.221,8.456,CP008708,1503.402,446.899,143886.0,12951897.0,8731,1890.011,369.024,CP008709,11568.02,1374.773,237270.0,20843188.0,1967,10779.23,1261.548
NRA281_S91_L008_R1_001_fastxclipper_trimmed,2605980,234941689,0.998,CP008706,45.837,8.329,1995142.0,180145546.333,3972672,52.142,7.947,CP008707,19.622,6.559,15499.0,1382496.0,83610,24.784,10.405,CP008708,1251.651,403.525,119179.0,10780884.0,8731,673.633,72.668,CP008709,21226.46,2572.321,431959.0,38210883.0,1967,18144.18,649.036
NRA282_S92_L008_R1_001_fastxclipper_trimmed,2476677,223062765,0.998,CP008706,46.028,8.4,2006382.0,180801724.222,3972672,52.263,7.841,CP008707,27.394,8.851,21753.0,1944723.0,83610,29.955,7.864,CP008708,1046.493,327.489,99721.0,9013065.0,8731,615.606,76.612,CP008709,15511.28,1810.002,315699.0,27965766.0,1967,13603.35,710.018
NRA283_S93_L008_R1_001_fastxclipper_trimmed,2827162,254475509,0.998,CP008706,51.341,9.497,2247079.0,202772515.9,3972672,58.681,8.993,CP008707,38.362,12.084,30379.0,2710478.0,83610,53.527,25.173,CP008708,1117.789,360.901,107183.0,9635800.0,8731,625.063,87.575,CP008709,19539.92,2364.324,401429.0,35234374.0,1967,17739.54,1127.335
NRA284_S94_L008_R1_001_fastxclipper_trimmed,1846714,166166507,0.998,CP008706,32.858,6.408,1424212.0,128377463.6,3972672,37.082,5.93,CP008707,18.263,6.351,12296.0,1095182.0,83610,32.476,19.496,CP008708,906.193,304.654,86139.0,7771831.0,8731,6704.957,6514.442,CP008709,14383.7,1699.096,294325.0,25940650.0,1967,14053.52,1491.538
NRA285_S95_L008_R1_001_fastxclipper_trimmed,1657470,154573310,0.999,CP008706,35.085,53.598,1485247.0,138669827.033,3972672,35.391,7.677,CP008707,22.628,9.625,16771.0,1558420.0,83610,26.802,8.046,CP008708,677.917,223.66,63022.0,5819243.0,8731,844.469,124.627,CP008709,4121.363,502.248,81560.0,7403612.0,1967,3513.218,242.617
NRA286_S96_L008_R1_001_fastxclipper_trimmed,1208933,112965335,0.999,CP008706,26.485,5.824,1114830.0,104239171.667,3972672,28.768,5.758,CP008707,21.266,6.103,13200.0,1228478.0,83610,23.355,6.359,CP008708,394.54,131.887,36584.0,3386466.0,8731,250.268,39.688,CP008709,1956.559,218.179,38823.0,3527732.0,1967,2071.443,293.754
NRA287_S97_L008_R1_001_fastxclipper_trimmed,1169662,108849041,0.999,CP008706,22.801,5.2,961089.0,89657234.667,3972672,24.622,4.965,CP008707,7.011,2.423,4607.0,427348.0,83610,7.654,2.829,CP008708,1071.243,365.801,99602.0,9190547.0,8731,1042.003,456.598,CP008709,4695.809,524.79,93356.0,8447035.0,1967,4094.766,254.579
NRA288_S98_L008_R1_001_fastxclipper_trimmed,797178,74878950,0.999,CP008706,16.475,3.975,694591.0,65346641.532,3972672,17.084,3.749,CP008707,12.654,3.546,9342.0,878886.0,83610,12.833,2.839,CP008708,465.879,129.922,42813.0,3984896.0,8731,284.314,58.484,CP008709,2280.493,266.897,45090.0,4117565.0,1967,2034.705,186.699
NRA289_S99_L008_R1_001_fastxclipper_trimmed,1464787,136647822,0.999,CP008706,30.123,6.5,1271075.0,118693639.19,3972672,32.289,6.079,CP008707,182.365,44.728,74952.0,6985306.0,83610,195.071,32.026,CP008708,498.531,146.398,46381.0,4279394.0,8731,641.56,60.065,CP008709,3228.409,390.662,63495.0,5771521.0,1967,2826.019,178.705
