read_file,total_reads,total_bases,percent_bases_mapped,chr_coverage_avg,chr_coverage_rel_variance,chr_num_reads_mapped,chr_num_bases_mapped,chr_length,chr_nbinom_fit_mean,chr_nbinom_fit_rel_var,pab1_coverage_avg,pab1_coverage_rel_variance,pab1_num_reads_mapped,pab1_num_bases_mapped,pab1_length,pab1_nbinom_fit_mean,pab1_nbinom_fit_rel_var,pab2_coverage_avg,pab2_coverage_rel_variance,pab2_num_reads_mapped,pab2_num_bases_mapped,pab2_length,pab2_nbinom_fit_mean,pab2_nbinom_fit_rel_var,pab3_coverage_avg,pab3_coverage_rel_variance,pab3_num_reads_mapped,pab3_num_bases_mapped,pab3_length,pab3_nbinom_fit_mean,pab3_nbinom_fit_rel_var
NRA275_S168_L008_R1_001_minlen_trimmed,1007168,95321860,95321860,22.23,4.96,929781.0,87996612.04,3972672,24.52,5.06,61.25,16.87,46690.0,4367881.0,83610,66.71,18.7,149.35,36.74,13523.0,1278258.0,8731,416.21,215.84,643.44,34.17,12346.0,1174966.0,1967,654.69,42.67
NRA276_S169_L008_R1_001_minlen_trimmed,1558366,146670084,146670084,34.16,7.42,1437432.0,135298516.41,3972672,37.57,7.12,93.77,24.94,72140.0,6702360.0,83610,106.55,32.23,234.09,61.11,21643.0,2031762.0,8731,405.54,181.69,1026.96,54.11,19690.0,1865709.0,1967,991.28,46.87
NRA277_S87_L008_R1_001_minlen_trimmed,2221065,211686380,211686380,48.34,6.83,2007376.0,191306383.03,3972672,53.11,5.32,27.44,7.03,18165.0,1716849.0,83610,33.57,10.61,912.56,221.47,83862.0,7980228.0,8731,0.0,0.0,5091.31,260.34,98163.0,9294328.0,1967,5199.97,323.71
NRA278_S88_L008_R1_001_minlen_trimmed,2431850,235637792,235637792,56.61,8.13,2292879.0,222070550.97,3972672,61.3,5.96,43.37,10.51,19542.0,1893171.0,83610,72.75,29.03,686.6,161.48,60772.0,5894215.0,8731,0.0,96.65,2606.84,126.05,48882.0,4743597.0,1967,2552.99,95.59
NRA279_S89_L008_R1_001_minlen_trimmed,3289903,312323938,312323938,71.36,10.6,2968786.0,281655180.44,3972672,79.2,7.8,32.99,8.68,24747.0,2334289.0,83610,34.49,7.52,1441.25,348.13,130959.0,12459630.0,8731,1769.47,259.01,7502.5,383.79,144179.0,13690201.0,1967,7489.59,408.52
NRA280_S90_L008_R1_001_minlen_trimmed,3453629,329902790,329902790,72.77,10.02,2998031.0,286411998.12,3972672,80.25,6.85,18.69,5.29,12312.0,1167906.0,83610,17.79,6.09,1731.88,415.42,156469.0,14960569.0,8731,2174.65,233.14,13321.95,735.08,256501.0,24278184.0,1967,13297.07,743.12
NRA281_S91_L008_R1_001_minlen_trimmed,2806623,267486203,267486203,51.9,7.57,2147060.0,204233136.67,3972672,57.43,5.58,22.34,6.83,16707.0,1579129.0,83610,24.64,6.66,1444.22,370.6,129700.0,12469226.0,8731,3001.01,1209.87,24513.17,1340.66,467771.0,44646583.0,1967,24322.66,1340.51
NRA282_S92_L008_R1_001_minlen_trimmed,2666356,253664407,253664407,52.09,7.69,2158105.0,204860292.89,3972672,57.68,5.68,31.38,9.11,23508.0,2229133.0,83610,37.93,11.62,1207.93,304.94,108522.0,10425132.0,8731,3187.93,1552.95,17921.07,901.78,341917.0,32685563.0,1967,18100.7,1020.4
NRA283_S93_L008_R1_001_minlen_trimmed,3042660,289273274,289273274,58.12,8.65,2417373.0,229773772.57,3972672,64.24,6.1,43.88,12.41,32782.0,3100332.0,83610,62.51,24.45,1286.46,333.43,116355.0,11113942.0,8731,629.78,120.32,22489.58,1278.56,433637.0,41010889.0,1967,22234.96,1233.77
NRA284_S94_L008_R1_001_minlen_trimmed,1987621,188998649,188998649,37.17,5.89,1532152.0,145455298.1,3972672,40.95,4.37,20.87,6.48,13253.0,1253655.0,83610,25.98,7.11,1043.33,285.17,93597.0,8968256.0,8731,1293.48,185.17,16576.95,876.64,317953.0,30236570.0,1967,16762.13,1004.19
